uf;tipo_de_crime;ano;qtd;taxa_100mil_hab
RJ;Despesas empenhadas na Função Segurança Pública;2014;10589292213.4686;64328904.2249215
PR;Despesas empenhadas na Função Segurança Pública;2014;3440524741.91287;31046926.2447726
RS;Despesas empenhadas na Função Segurança Pública;2014;4121602518.21047;36776137.696022
SC;Despesas empenhadas na Função Segurança Pública;2014;2707789798.94391;40251675.7315866
Brasil;Despesas empenhadas na Função Segurança Pública;2014;77205987007.4662;38070103.7994904
AC;Despesas empenhadas na Função Segurança Pública;2015;534921056.927882;66572794.332871
AP;Despesas empenhadas na Função Segurança Pública;2015;581273537.053811;75817067.7759285
AM;Despesas empenhadas na Função Segurança Pública;2015;1697488495.12222;43101667.6871201
PA;Despesas empenhadas na Função Segurança Pública;2015;2652664735.07634;32322281.2627381
RO;Despesas empenhadas na Função Segurança Pública;2015;1207414018.68951;68284769.1041026
RR;Despesas empenhadas na Função Segurança Pública;2015;373484246.431465;73860015.312799
TO;Despesas empenhadas na Função Segurança Pública;2015;790875077.170039;52198634.1182211
AL;Despesas empenhadas na Função Segurança Pública;2015;1320650899.27652;39529415.7222152
BA;Despesas empenhadas na Função Segurança Pública;2015;4641372196.48632;30527442.4138274
CE;Despesas empenhadas na Função Segurança Pública;2015;2262494475.59217;25408556.2704278
MA;Despesas empenhadas na Função Segurança Pública;2015;1438257914.82511;20831513.7728407
PB;Despesas empenhadas na Função Segurança Pública;2015;1138345305.49257;28657789.9485618
PE;Despesas empenhadas na Função Segurança Pública;2015;2663761156.26629;28504139.5837861
PI;Despesas empenhadas na Função Segurança Pública;2015;285446298.6735;8908982.65163414
RN;Despesas empenhadas na Função Segurança Pública;2015;999681138.832485;29042135.8249504
SE;Despesas empenhadas na Função Segurança Pública;2015;978911489.192173;43644181.2316696
GO;Despesas empenhadas na Função Segurança Pública;2015;3726507258228;56371004.1102876
MT;Despesas empenhadas na Função Segurança Pública;2015;1788679898.84042;54775304.4674031
MS;Despesas empenhadas na Função Segurança Pública;2015;1341403736.98226;50595429.5632887
DF;Despesas empenhadas na Função Segurança Pública;2015;841628045.479992;28874001.0731326
ES;Despesas empenhadas na Função Segurança Pública;2015;1554968141.96153;39567515.4465719
MG;Despesas empenhadas na Função Segurança Pública;2015;10932349853.9903;52385341.6301463
SP;Despesas empenhadas na Função Segurança Pública;2015;14060774028.73;31670917.9689319
RJ;Despesas empenhadas na Função Segurança Pública;2015;10849815600.2471;65557703.1202319
PR;Despesas empenhadas na Função Segurança Pública;2015;4110215847.95389;36819933.8920164
RS;Despesas empenhadas na Função Segurança Pública;2015;3817498651.93486;33939439.5001593
SC;Despesas empenhadas na Função Segurança Pública;2015;2508439363.4827;36785004.7217147
Brasil;Despesas empenhadas na Função Segurança Pública;2015;79099322468.9394;38682693.3008173
AC;Despesas empenhadas na Função Segurança Pública;2016;498534695.855143;61043544.9388987
AP;Despesas empenhadas na Função Segurança Pública;2016;475323291.753874;60760108.6232015
AM;Despesas empenhadas na Função Segurança Pública;2016;1604732215.63258;40101593.0519101
PA;Despesas empenhadas na Função Segurança Pública;2016;2551740769.92265;30724027.3409331
RO;Despesas empenhadas na Função Segurança Pública;2016;874874024.274412;48950053.3646069
RR;Despesas empenhadas na Função Segurança Pública;2016;408934196.873998;79523752.428198
TO;Despesas empenhadas na Função Segurança Pública;2016;839882380.456153;54790350.6196843
AL;Despesas empenhadas na Função Segurança Pública;2016;1196640762.20409;35625303.47027
BA;Despesas empenhadas na Função Segurança Pública;2016;4760591103.40545;31162704.3892289
CE;Despesas empenhadas na Função Segurança Pública;2016;2188315249.87724;24413180.7485091
MA;Despesas empenhadas na Função Segurança Pública;2016;1593472060.72536;22914348.7425915
PB;Despesas empenhadas na Função Segurança Pública;2016;1286810010.40846;32174955.8475042
PE;Despesas empenhadas na Função Segurança Pública;2016;2657597769.59673;28241263.3257381
PI;Despesas empenhadas na Função Segurança Pública;2016;804429478.026065;25043100.8855688
RN;Despesas empenhadas na Função Segurança Pública;2016;1215256792.67837;34971438.6217882
